"","< 25","25 - 50","50 - 100","> 100"
"NM_001781.2:88",0.566666666666667,0.3,0.0666666666666667,0.0666666666666667
"NM_002203.3:903",0.566666666666667,0.366666666666667,0.0666666666666667,0
"NM_002214.2:2609",0.566666666666667,0.233333333333333,0.0666666666666667,0.133333333333333
"NM_000442.4:2492",0.566666666666667,0.233333333333333,0.1,0.1
"NM_003150.3:2936",0.566666666666667,0.233333333333333,0.1,0.1
"NM_001164319.1:8980",0.566666666666667,0.366666666666667,0.0666666666666667,0
"NM_000416.2:1025",0.566666666666667,0.2,0.133333333333333,0.1
"NM_002262.3:393",0.566666666666667,0.366666666666667,0.0666666666666667,0
"NM_001255.1:915",0.566666666666667,0.366666666666667,0.0666666666666667,0
"NM_023914.2:2350",0.566666666666667,0.4,0.0333333333333333,0
"NM_006027.3:820",0.566666666666667,0.366666666666667,0.0666666666666667,0
"NM_001099692.1:2210",0.566666666666667,0.333333333333333,0.1,0
"NM_199168.3:72",0.566666666666667,0.4,0.0333333333333333,0
"NM_148901.1:282",0.566666666666667,0.366666666666667,0.0666666666666667,0
"NM_000675.5:951",0.566666666666667,0.333333333333333,0.1,0
"NM_000321.2:2769",0.566666666666667,0.3,0.0333333333333333,0.1
"NM_033131.3:430",0.566666666666667,0.333333333333333,0.1,0
"NM_000125.2:1595",0.566666666666667,0.4,0.0333333333333333,0
"NM_000585.4:715",0.566666666666667,0.433333333333333,0,0
"NM_001098721.1:2350",0.566666666666667,0.433333333333333,0,0
"NM_000073.2:404",0.566666666666667,0.433333333333333,0,0
"NM_019074.2:893",0.566666666666667,0.333333333333333,0.1,0
"NM_002543.3:254",0.566666666666667,0.3,0.0333333333333333,0.1
"NM_000051.3:393",0.566666666666667,0.3,0.133333333333333,0
"NM_000494.3:3330",0.566666666666667,0.4,0.0333333333333333,0
"NM_032206.4:3668",0.566666666666667,0.433333333333333,0,0
"ERCC_00126.1:220",0.566666666666667,0.4,0.0333333333333333,0
"NM_006852.3:2286",0.566666666666667,0.166666666666667,0.266666666666667,0
"NM_005764.3:229",0.533333333333333,0.166666666666667,0.166666666666667,0.133333333333333
"NM_002308.3:1206",0.533333333333333,0.366666666666667,0.1,0
"NM_022750.3:1843",0.533333333333333,0.3,0.166666666666667,0
"NM_005601.3:633",0.533333333333333,0.266666666666667,0.2,0
"NM_001044305.2:823",0.533333333333333,0.3,0.166666666666667,0
"NM_003051.3:635",0.533333333333333,0.2,0.0666666666666667,0.2
"NM_002318.2:40",0.533333333333333,0.4,0.0666666666666667,0
"NM_012342.2:824",0.533333333333333,0.333333333333333,0.133333333333333,0
"NR_024168.1:2575",0.533333333333333,0.266666666666667,0.2,0
"NM_001172129.1:325",0.533333333333333,0.266666666666667,0.166666666666667,0.0333333333333333
"NM_003265.2:37",0.533333333333333,0.333333333333333,0.1,0.0333333333333333
"NM_014805.3:1322",0.533333333333333,0.3,0.166666666666667,0
"NM_021975.3:1990",0.533333333333333,0.233333333333333,0.233333333333333,0
"NM_000014.4:1685",0.533333333333333,0.233333333333333,0.1,0.133333333333333
"NM_006288.3:420",0.533333333333333,0.366666666666667,0,0.1
"NM_002995.2:266",0.533333333333333,0.466666666666667,0,0
"NM_001011548.1:782",0.533333333333333,0.366666666666667,0.1,0
"NM_000758.3:108",0.533333333333333,0.433333333333333,0.0333333333333333,0
"NM_005018.1:175",0.533333333333333,0.4,0.0666666666666667,0
"NM_198282.1:725",0.533333333333333,0.3,0.0666666666666667,0.1
"NM_001199859.1:3620",0.533333333333333,0.4,0.0666666666666667,0
"NM_000760.3:2066",0.533333333333333,0.4,0.0666666666666667,0
"NM_000565.3:846",0.533333333333333,0.433333333333333,0.0333333333333333,0
"NM_001135768.2:448",0.533333333333333,0.4,0.0666666666666667,0
"NM_001322168.1:466",0.533333333333333,0.266666666666667,0.2,0
"NM_002181.2:1693",0.533333333333333,0.466666666666667,0,0
"NM_016562.3:4120",0.533333333333333,0.466666666666667,0,0
"NM_015177.1:4820",0.533333333333333,0.333333333333333,0.133333333333333,0
"NM_025079.2:1379",0.533333333333333,0.433333333333333,0.0333333333333333,0
"NM_001244.3:399",0.533333333333333,0.433333333333333,0.0333333333333333,0
"NM_005429.4:588",0.533333333333333,0.466666666666667,0,0
"NM_023068.3:4559",0.533333333333333,0.433333333333333,0.0333333333333333,0
"NM_000757.5:251",0.533333333333333,0.333333333333333,0.133333333333333,0
"NM_005651.3:315",0.533333333333333,0.466666666666667,0,0
"NM_001870.2:768",0.533333333333333,0.233333333333333,0.1,0.133333333333333
"NM_004972.2:455",0.533333333333333,0.366666666666667,0.1,0
"NM_007294.3:4677",0.533333333333333,0.466666666666667,0,0
"NM_001282399.1:683",0.533333333333333,0.4,0.0666666666666667,0
"NM_001174105.1:1020",0.5,0.233333333333333,0.133333333333333,0.133333333333333
"NM_001136017.2:760",0.5,0.4,0.1,0
"NM_005044.4:462",0.5,0.466666666666667,0.0333333333333333,0
"NM_001034116.1:1258",0.5,0.333333333333333,0.166666666666667,0
"NM_014417.4:1310",0.5,0.366666666666667,0.133333333333333,0
"NM_001318204.1:674",0.5,0.4,0.1,0
"NM_002019.4:530",0.5,0.233333333333333,0.166666666666667,0.1
