"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Related.Probes","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"LCK - mRNA","NM_005356.4:1723","NS_IO_360_V1.0","LCK","mRNA",0,"","","Lymphoid Compartment;Costimulatory Signaling","hsa04064;hsa04380;hsa04650;hsa04660;hsa05166;hsa05340","","LCK","LCK - mRNA","True"
"NGFR - mRNA","NM_002507.3:512","NS_IO_360_V1.0","NGFR","mRNA",0,"","","PI3K-Akt;MAPK","hsa04014;hsa04015;hsa04060;hsa04151;hsa04722;hsa05202","","NGFR","NGFR - mRNA","True"
"IL34 - mRNA","NM_001172771.1:1404","NS_IO_360_V1.0","IL34","mRNA",0,"","","Cytokine and Chemokine Signaling","","","IL34","IL34 - mRNA","True"
"TNFRSF25 - mRNA","NM_148970.1:151","NS_IO_360_V1.0","TNFRSF25","mRNA",0,"","","NF-kappaB Signaling;Lymphoid Compartment;Costimulatory Signaling","hsa04060","","TNFRSF25","TNFRSF25 - mRNA","True"
"NEIL1 - mRNA","NM_024608.2:1675","NS_IO_360_V1.0","NEIL1","mRNA",0,"","","DNA Damage Repair","","","NEIL1","NEIL1 - mRNA","False"
"ADORA2A - mRNA","NM_000675.5:951","NS_IO_360_V1.0","ADORA2A","mRNA",0,"","","Costimulatory Signaling","hsa04015;hsa04020;hsa04024;hsa04080;hsa04270;hsa05012;hsa05034","","ADORA2A","ADORA2A - mRNA","True"
"MAPK10 - mRNA","NM_001318067.1:2280","NS_IO_360_V1.0","MAPK10","mRNA",0,"","","Wnt Signaling;Metabolic Stress;MAPK;Autophagy","hsa04010;hsa04012;hsa04014;hsa04024;hsa04068;hsa04071;hsa04141;hsa04310;hsa04380;hsa04510;hsa04620;hsa04621;hsa04622;hsa04664;hsa04668;hsa04722;hsa04723;hsa04728;hsa04750;hsa04910;hsa04912;hsa04914;hsa04917;hsa04920;hsa04930;hsa04931;hsa04932;hsa04933;hsa05120;hsa05131;hsa05132;hsa05133;hsa05142;hsa05145;hsa05152;hsa05160;hsa05161;hsa05164;hsa05168;hsa05169;hsa05200;hsa05210;hsa05212;hsa05231","","MAPK10","MAPK10 - mRNA","True"
"PIK3CG - mRNA","NM_001282426.1:1805","NS_IO_360_V1.0","PIK3CG","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK;JAK-STAT Signaling;Immune Cell Adhesion and Migration;Hypoxia;Cytokine and Chemokine Signaling","hsa00562;hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04070;hsa04071;hsa04072;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04261;hsa04370;hsa04380;hsa04510;hsa04550;hsa04611;hsa04620;hsa04630;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04670;hsa04722;hsa04725;hsa04750;hsa04810;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04921;hsa04923;hsa04930;hsa04931;hsa04932;hsa04933;hsa04960;hsa04973;hsa05100;hsa05142;hsa05145;hsa05146;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05169;hsa05200;hsa05203;hsa05205;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05230;hsa05231","","PIK3CG","PIK3CG - mRNA","True"
"LILRB2 - mRNA","NM_001278405.1:256","NS_IO_360_V1.0","LILRB2","mRNA",0,"","","Myeloid Compartment;Costimulatory Signaling","hsa04380","","LILRB2","LILRB2 - mRNA","True"
"NOTCH1 - mRNA","NM_017617.3:2999","NS_IO_360_V1.0","NOTCH1","mRNA",0,"","","Notch Signaling","hsa04330;hsa04919;hsa05020;hsa05206","","NOTCH1","NOTCH1 - mRNA","False"
"WNT10A - mRNA","NM_025216.2:1781","NS_IO_360_V1.0","WNT10A","mRNA",0,"","","Wnt Signaling;Hedgehog Signaling","hsa04310;hsa04340;hsa04390;hsa04550;hsa04916;hsa05166;hsa05200;hsa05205;hsa05217","","WNT10A","WNT10A - mRNA","True"
"IL2RA - mRNA","NM_000417.2:1222","NS_IO_360_V1.0","IL2RA","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04060;hsa04144;hsa04151;hsa04630;hsa04640;hsa05162;hsa05166","","IL2RA","IL2RA - mRNA","True"
"CCR2 - mRNA","NM_001123041.2:438","NS_IO_360_V1.0","CCR2","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062","","CCR2","CCR2 - mRNA","True"
"ANGPT1 - mRNA","NM_001199859.1:3620","NS_IO_360_V1.0","ANGPT1","mRNA",0,"","","PI3K-Akt;Myeloid Compartment;MAPK;Hypoxia;Angiogenesis","hsa04014;hsa04015;hsa04066;hsa04151;hsa05323","","ANGPT1","ANGPT1 - mRNA","True"
"CLEC4E - mRNA","NM_014358.3:1392","NS_IO_360_V1.0","CLEC4E","mRNA",0,"","","Myeloid Compartment;Immune Cell Adhesion and Migration","hsa05152","","CLEC4E","CLEC4E - mRNA","False"
"SFRP1 - mRNA","NM_003012.3:1320","NS_IO_360_V1.0","SFRP1","mRNA",0,"","","Wnt Signaling","hsa04310","","SFRP1","SFRP1 - mRNA","True"
"MLANA - mRNA","NM_005511.1:246","NS_IO_360_V1.0","MLANA","mRNA",0,"","","","","","MLANA","MLANA - mRNA","True"
"CXCR2 - mRNA","NM_001557.3:409","NS_IO_360_V1.0","CXCR2","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04072;hsa04144;hsa05120","","CXCR2","CXCR2 - mRNA","False"
"CCL8 - mRNA","NM_005623.2:1012","NS_IO_360_V1.0","CCL8","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062","","CCL8","CCL8 - mRNA","True"
"CCNO - mRNA","NM_021147.4:1129","NS_IO_360_V1.0","CCNO","mRNA",0,"","","DNA Damage Repair;Cell Proliferation","","","CCNO","CCNO - mRNA","True"
"GAS1 - mRNA","NM_002048.2:948","NS_IO_360_V1.0","GAS1","mRNA",0,"","","Hedgehog Signaling","hsa04340","","GAS1","GAS1 - mRNA","True"
"KIR3DL1 - mRNA","NM_001322168.1:466","NS_IO_360_V1.0","KIR3DL1","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity;Antigen Presentation","hsa04612;hsa04650;hsa05332","NK CD56dim cells","KIR3DL1","KIR3DL1 - mRNA","True"
"DTX4 - mRNA","NM_015177.1:4820","NS_IO_360_V1.0","DTX4","mRNA",0,"","","Notch Signaling","hsa04330","","DTX4","DTX4 - mRNA","False"
"LILRA5 - mRNA","NM_181879.2:545","NS_IO_360_V1.0","LILRA5","mRNA",0,"","","Myeloid Compartment","hsa04380","","LILRA5","LILRA5 - mRNA","True"
"CD8B - mRNA","NM_172213.2:310","NS_IO_360_V1.0","CD8B","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Antigen Presentation","hsa04514;hsa04612;hsa04640;hsa04660;hsa05340","CD8 T cells","CD8B","CD8B - mRNA","True"
"IL22RA1 - mRNA","NM_021258.2:2524","NS_IO_360_V1.0","IL22RA1","mRNA",0,"","","JAK-STAT Signaling;Cytotoxicity;Cytokine and Chemokine Signaling","hsa04060;hsa04630","","IL22RA1","IL22RA1 - mRNA","True"
"CCL7 - mRNA","NM_006273.3:588","NS_IO_360_V1.0","CCL7","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062","","CCL7","CCL7 - mRNA","False"
"SNCA - mRNA","NM_001146055.1:480","NS_IO_360_V1.0","SNCA","mRNA",0,"","","","hsa05010;hsa05012","","SNCA","SNCA - mRNA","True"
"CMKLR1 - mRNA","NM_004072.2:762","NS_IO_360_V1.0","CMKLR1","mRNA",0,"","","","","","CMKLR1","CMKLR1 - mRNA","True"
"NKG7 - mRNA","NM_005601.3:633","NS_IO_360_V1.0","NKG7","mRNA",0,"","","","","Cytotoxic cells","NKG7","NKG7 - mRNA","True"
"ITGAL - mRNA","NM_002209.2:3905","NS_IO_360_V1.0","ITGAL","mRNA",0,"","","Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration","hsa04015;hsa04514;hsa04650;hsa04670;hsa04810;hsa05144;hsa05150;hsa05166;hsa05169;hsa05323;hsa05416","","ITGAL","ITGAL - mRNA","True"
"BCAT1 - mRNA","NM_005504.6:1060","NS_IO_360_V1.0","BCAT1","mRNA",0,"","","","hsa00270","","BCAT1","BCAT1 - mRNA","True"
"TNFRSF4 - mRNA","NM_003327.3:981","NS_IO_360_V1.0","TNFRSF4","mRNA",0,"","","NF-kappaB Signaling","hsa04060","","TNFRSF4","TNFRSF4 - mRNA","True"
"GLI1 - mRNA","NM_005269.2:2922","NS_IO_360_V1.0","GLI1","mRNA",0,"","","Hedgehog Signaling","hsa04024;hsa04340;hsa05200;hsa05217","","GLI1","GLI1 - mRNA","True"
"SLAMF7 - mRNA","NM_021181.3:215","NS_IO_360_V1.0","SLAMF7","mRNA",0,"","","Lymphoid Compartment","","","SLAMF7","SLAMF7 - mRNA","True"
"CCR4 - mRNA","NM_005508.4:672","NS_IO_360_V1.0","CCR4","mRNA",0,"","","Lymphoid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa05203","","CCR4","CCR4 - mRNA","True"
"WNT3A - mRNA","NM_033131.3:430","NS_IO_360_V1.0","WNT3A","mRNA",0,"","","Wnt Signaling;Hedgehog Signaling","hsa04310;hsa04340;hsa04390;hsa04550;hsa04916;hsa05166;hsa05200;hsa05205;hsa05206;hsa05217","","WNT3A","WNT3A - mRNA","True"
"MARCO - mRNA","NM_006770.3:1435","NS_IO_360_V1.0","MARCO","mRNA",0,"","","Myeloid Compartment","hsa04145","","MARCO","MARCO - mRNA","True"
"MAGEA3/A6 - mRNA","NM_005362.3:866","NS_IO_360_V1.0","MAGEA3/A6","mRNA",0,"","","","","","MAGEA3","MAGEA3/A6 - mRNA","True"
"SIGLEC5 - mRNA","NM_003830.3:2082","NS_IO_360_V1.0","SIGLEC5","mRNA",0,"","","","","Neutrophils","SIGLEC5","SIGLEC5 - mRNA","True"
"ITGAM - mRNA","NM_000632.3:1400","NS_IO_360_V1.0","ITGAM","mRNA",0,"","","Myeloid Compartment;Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration","hsa04015;hsa04145;hsa04514;hsa04610;hsa04640;hsa04670;hsa04810;hsa05133;hsa05134;hsa05140;hsa05146;hsa05150;hsa05152;hsa05202","","ITGAM","ITGAM - mRNA","True"
"PF4 - mRNA","NM_002619.3:55","NS_IO_360_V1.0","PF4","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062","","PF4","PF4 - mRNA","True"
"IL11RA - mRNA","NM_147162.1:400","NS_IO_360_V1.0","IL11RA","mRNA",0,"","","JAK-STAT Signaling;Cytotoxicity;Cytokine and Chemokine Signaling","hsa04060;hsa04630;hsa04640","","IL11RA","IL11RA - mRNA","True"
"CXCR3 - mRNA","NM_001142797.1:654","NS_IO_360_V1.0","CXCR3","mRNA",0,"","","Lymphoid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062","","CXCR3","CXCR3 - mRNA","True"
"LILRA3 - mRNA","NM_001172654.2:890","NS_IO_360_V1.0","LILRA3","mRNA",0,"","","","hsa04380","","LILRA3","LILRA3 - mRNA","True"
"TLR9 - mRNA","NM_017442.2:985","NS_IO_360_V1.0","TLR9","mRNA",0,"","","","hsa04620;hsa05142;hsa05143;hsa05144;hsa05152;hsa05162;hsa05168","","TLR9","TLR9 - mRNA","True"
"SIGLEC8 - mRNA","NM_014442.2:1672","NS_IO_360_V1.0","SIGLEC8","mRNA",0,"","","Myeloid Compartment","","","SIGLEC8","SIGLEC8 - mRNA","True"
"TNFRSF18 - mRNA","NM_148901.1:282","NS_IO_360_V1.0","TNFRSF18","mRNA",0,"","","NF-kappaB Signaling","hsa04060","","TNFRSF18","TNFRSF18 - mRNA","True"
"CD28 - mRNA","NM_001243077.1:438","NS_IO_360_V1.0","CD28","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514;hsa04660;hsa04672;hsa04940;hsa05162;hsa05320;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","CD28","CD28 - mRNA","True"
"EIF5AL1 - mRNA","NM_001099692.1:2210","NS_IO_360_V1.0","EIF5AL1","mRNA",0,"","","","","","EIF5AL1","EIF5AL1 - mRNA","True"
"SELL - mRNA","NM_000655.4:1872","NS_IO_360_V1.0","SELL","mRNA",0,"","","Immune Cell Adhesion and Migration","hsa04514","","SELL","SELL - mRNA","True"
"TNFSF13B - mRNA","NM_001145645.2:142","NS_IO_360_V1.0","TNFSF13B","mRNA",0,"","","NF-kappaB Signaling","hsa04060;hsa04064;hsa04672;hsa05323","","TNFSF13B","TNFSF13B - mRNA","True"
"IKBKG - mRNA","NM_001099856.4:1719","NS_IO_360_V1.0","IKBKG","mRNA",0,"","","PI3K-Akt;NF-kappaB Signaling;MAPK;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04010;hsa04014;hsa04062;hsa04064;hsa04151;hsa04210;hsa04380;hsa04620;hsa04621;hsa04622;hsa04623;hsa04660;hsa04662;hsa04668;hsa04920;hsa05120;hsa05131;hsa05142;hsa05145;hsa05160;hsa05161;hsa05166;hsa05168;hsa05169;hsa05200;hsa05203;hsa05212;hsa05215;hsa05220;hsa05221;hsa05222;hsa05340","","IKBKG","IKBKG - mRNA","True"
"HNF1A - mRNA","NM_000545.6:1158","NS_IO_360_V1.0","HNF1A","mRNA",0,"","","","hsa04550","","HNF1A","HNF1A - mRNA","True"
"TNFSF4 - mRNA","NM_001297562.1:332","NS_IO_360_V1.0","TNFSF4","mRNA",0,"","","NF-kappaB Signaling","hsa04060","","TNFSF4","TNFSF4 - mRNA","True"
"TLR5 - mRNA","NM_003268.5:2570","NS_IO_360_V1.0","TLR5","mRNA",0,"","","","hsa04620;hsa05130;hsa05132;hsa05134;hsa05321","","TLR5","TLR5 - mRNA","False"
"LGALS9 - mRNA","NM_002308.3:1206","NS_IO_360_V1.0","LGALS9","mRNA",0,"","","","","","LGALS9","LGALS9 - mRNA","True"
"VEGFC - mRNA","NM_005429.4:588","NS_IO_360_V1.0","VEGFC","mRNA",0,"","","PI3K-Akt;MAPK;Angiogenesis","hsa04014;hsa04015;hsa04060;hsa04151;hsa04510;hsa04668;hsa04933;hsa05200","","VEGFC","VEGFC - mRNA","False"
"OLR1 - mRNA","NM_002543.3:254","NS_IO_360_V1.0","OLR1","mRNA",0,"","","Myeloid Compartment","hsa03320;hsa04145","","OLR1","OLR1 - mRNA","True"
"IRF8 - mRNA","NM_002163.2:1245","NS_IO_360_V1.0","IRF8","mRNA",0,"","","Interferon Signaling;Antigen Presentation","hsa05133","","IRF8","IRF8 - mRNA","True"
"KDR - mRNA","NM_002253.2:336","NS_IO_360_V1.0","KDR","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis;MAPK","hsa04014;hsa04015;hsa04060;hsa04144;hsa04151;hsa04370;hsa04510;hsa05205","","KDR","KDR - mRNA","True"
"ITGA4 - mRNA","NM_000885.5:1019","NS_IO_360_V1.0","ITGA4","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration","hsa04151;hsa04510;hsa04512;hsa04514;hsa04640;hsa04670;hsa04672;hsa04810;hsa05140;hsa05410;hsa05412;hsa05414","","ITGA4","ITGA4 - mRNA","True"
"REN - mRNA","NM_000537.3:356","NS_IO_360_V1.0","REN","mRNA",0,"","","","","","REN","REN - mRNA","True"
"CD84 - mRNA","NM_001184879.1:1015","NS_IO_360_V1.0","CD84","mRNA",0,"","","","","Macrophages","CD84","CD84 - mRNA","True"
"TNFRSF1B - mRNA","NM_001066.2:596","NS_IO_360_V1.0","TNFRSF1B","mRNA",0,"","","NF-kappaB Signaling","hsa04060;hsa04668;hsa04920;hsa05014","","TNFRSF1B","TNFRSF1B - mRNA","True"
"CD36 - mRNA","NM_001001548.2:705","NS_IO_360_V1.0","CD36","mRNA",0,"","","Matrix Remodeling and Metastasis;Antigen Presentation","hsa03320;hsa04145;hsa04152;hsa04512;hsa04640;hsa04920;hsa04931;hsa05144","","CD36","CD36 - mRNA","True"
"SAMSN1 - mRNA","NM_001256370.1:1094","NS_IO_360_V1.0","SAMSN1","mRNA",0,"","","","","","SAMSN1","SAMSN1 - mRNA","True"
"MS4A4A - mRNA","NM_001243266.1:692","NS_IO_360_V1.0","MS4A4A","mRNA",0,"","","","","Macrophages","MS4A4A","MS4A4A - mRNA","True"
"CD163 - mRNA","NM_203416.2:1784","NS_IO_360_V1.0","CD163","mRNA",0,"","","","","Macrophages","CD163","CD163 - mRNA","True"
"CSF1R - mRNA","NM_005211.3:958","NS_IO_360_V1.0","CSF1R","mRNA",0,"","","PI3K-Akt;Myeloid Compartment;MAPK;Cytokine and Chemokine Signaling","hsa04014;hsa04015;hsa04060;hsa04144;hsa04151;hsa04380;hsa04640;hsa05200;hsa05202","","CSF1R","CSF1R - mRNA","False"
"SPRY4 - mRNA","NM_030964.3:1900","NS_IO_360_V1.0","SPRY4","mRNA",0,"","","Cytotoxicity","","","SPRY4","SPRY4 - mRNA","False"
"HAVCR2 - mRNA","NM_032782.3:955","NS_IO_360_V1.0","HAVCR2","mRNA",0,"","","Costimulatory Signaling","","","HAVCR2","HAVCR2 - mRNA","False"
"CD69 - mRNA","NM_001781.2:88","NS_IO_360_V1.0","CD69","mRNA",0,"","","Costimulatory Signaling","","","CD69","CD69 - mRNA","False"
"NFATC2 - mRNA","NM_173091.2:1840","NS_IO_360_V1.0","NFATC2","mRNA",0,"","","Wnt Signaling;Costimulatory Signaling","hsa04022;hsa04310;hsa04360;hsa04370;hsa04380;hsa04650;hsa04660;hsa04662;hsa04921;hsa05161;hsa05166","","NFATC2","NFATC2 - mRNA","False"
"ITGAX - mRNA","NM_000887.4:561","NS_IO_360_V1.0","ITGAX","mRNA",0,"","","Myeloid Compartment;Matrix Remodeling and Metastasis;Immune Cell Adhesion and Migration","hsa04610;hsa04810;hsa05152","","ITGAX","ITGAX - mRNA","True"
"THY1 - mRNA","NM_006288.3:420","NS_IO_360_V1.0","THY1","mRNA",0,"","","Immune Cell Adhesion and Migration","hsa04670","","THY1","THY1 - mRNA","True"
"LY96 - mRNA","NM_001195797.1:135","NS_IO_360_V1.0","LY96","mRNA",0,"","","Myeloid Compartment;Apoptosis","hsa04064;hsa04620;hsa05130;hsa05133;hsa05145","","LY96","LY96 - mRNA","False"
"IL1B - mRNA","NM_000576.2:1122","NS_IO_360_V1.0","IL1B","mRNA",0,"","","Myeloid Compartment;MAPK;Cytokine and Chemokine Signaling","hsa04010;hsa04060;hsa04064;hsa04210;hsa04380;hsa04620;hsa04621;hsa04623;hsa04640;hsa04668;hsa04750;hsa04932;hsa04933;hsa04940;hsa05010;hsa05020;hsa05132;hsa05133;hsa05134;hsa05140;hsa05142;hsa05143;hsa05144;hsa05146;hsa05152;hsa05162;hsa05164;hsa05168;hsa05321;hsa05323;hsa05332","","IL1B","IL1B - mRNA","True"
"HLA-DPA1 - mRNA","NM_033554.2:857","NS_IO_360_V1.0","HLA-DPA1","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Costimulatory Signaling;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DPA1","HLA-DPA1 - mRNA","False"
"HLA-DRB5 - mRNA","NM_002125.3:135","NS_IO_360_V1.0","HLA-DRB5","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Costimulatory Signaling;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04640;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DRB5","HLA-DRB5 - mRNA","False"
"HLA-DRB1 - mRNA","NM_002124.3:1016","NS_IO_360_V1.0","HLA-DRB1","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Costimulatory Signaling;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04640;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DRB1","HLA-DRB1 - mRNA","False"
"HLA-DRA - mRNA","NM_019111.3:335","NS_IO_360_V1.0","HLA-DRA","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Costimulatory Signaling;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04640;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DRA","HLA-DRA - mRNA","False"
"HLA-DPB1 - mRNA","NM_002121.5:987","NS_IO_360_V1.0","HLA-DPB1","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Costimulatory Signaling;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DPB1","HLA-DPB1 - mRNA","False"
"CD70 - mRNA","NM_001252.3:420","NS_IO_360_V1.0","CD70","mRNA",0,"","","NF-kappaB Signaling;Lymphoid Compartment;Costimulatory Signaling","hsa04060","","CD70","CD70 - mRNA","False"
"ANGPTL4 - mRNA","NM_001039667.2:1088","NS_IO_360_V1.0","ANGPTL4","mRNA",0,"","","Angiogenesis","hsa03320","","ANGPTL4","ANGPTL4 - mRNA","False"
"DDB2 - mRNA","NM_000107.2:1556","NS_IO_360_V1.0","DDB2","mRNA",0,"","","DNA Damage Repair","hsa04115;hsa04120;hsa05161","","DDB2","DDB2 - mRNA","False"
"CCL18 - mRNA","NM_002988.3:45","NS_IO_360_V1.0","CCL18","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062","","CCL18","CCL18 - mRNA","False"
"BNIP3 - mRNA","NM_004052.3:116","NS_IO_360_V1.0","BNIP3","mRNA",0,"","","Epigenetic Regulation;Autophagy","hsa04068;hsa05134","","BNIP3","BNIP3 - mRNA","False"
"LYZ - mRNA","NM_000239.2:381","NS_IO_360_V1.0","LYZ","mRNA",0,"","","Myeloid Compartment","hsa04970","","LYZ","LYZ - mRNA","False"
"CDKN2A - mRNA","NM_000077.4:1052","NS_IO_360_V1.0","CDKN2A","mRNA",0,"","","Metabolic Stress;Cell Proliferation","hsa04110;hsa04115;hsa05166;hsa05200;hsa05203;hsa05206;hsa05212;hsa05214;hsa05218;hsa05219;hsa05220;hsa05223","","CDKN2A","CDKN2A - mRNA","False"
"SNAI1 - mRNA","NM_005985.3:960","NS_IO_360_V1.0","SNAI1","mRNA",0,"","","","hsa04520","","SNAI1","SNAI1 - mRNA","False"
"APOE - mRNA","NM_000041.2:96","NS_IO_360_V1.0","APOE","mRNA",0,"","","","hsa05010","","APOE","APOE - mRNA","False"
"ADM - mRNA","NM_001124.2:1413","NS_IO_360_V1.0","ADM","mRNA",0,"","","","","","ADM","ADM - mRNA","False"
"VEGFA - mRNA","NM_001171623.1:2212","NS_IO_360_V1.0","VEGFA","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK;Hypoxia;Angiogenesis","hsa04014;hsa04015;hsa04060;hsa04066;hsa04150;hsa04151;hsa04370;hsa04510;hsa04933;hsa05200;hsa05205;hsa05206;hsa05211;hsa05212;hsa05219;hsa05323","","VEGFA","VEGFA - mRNA","False"
"CCL20 - mRNA","NM_001130046.1:295","NS_IO_360_V1.0","CCL20","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04668;hsa05323","","CCL20","CCL20 - mRNA","False"
"CXCL5 - mRNA","NM_002994.4:475","NS_IO_360_V1.0","CXCL5","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04668;hsa05133;hsa05323","","CXCL5","CXCL5 - mRNA","False"
"IL6 - mRNA","NM_000600.3:484","NS_IO_360_V1.0","IL6","mRNA",0,"","","PI3K-Akt;Metabolic Stress;JAK-STAT Signaling;Hypoxia;Cytokine and Chemokine Signaling","hsa04060;hsa04066;hsa04068;hsa04151;hsa04620;hsa04621;hsa04623;hsa04630;hsa04640;hsa04668;hsa04672;hsa04931;hsa04932;hsa04933;hsa05020;hsa05132;hsa05133;hsa05134;hsa05142;hsa05143;hsa05144;hsa05146;hsa05152;hsa05161;hsa05162;hsa05164;hsa05166;hsa05168;hsa05200;hsa05202;hsa05321;hsa05323;hsa05332;hsa05410","","IL6","IL6 - mRNA","False"
"BRD4 - mRNA","NM_001330384.1:2083","NS_IO_360_V1.0","BRD4","mRNA",0,"","","Epigenetic Regulation","","","BRD4","BRD4 - mRNA","False"
"TNKS - mRNA","NM_003747.2:1948","NS_IO_360_V1.0","TNKS","mRNA",0,"","","DNA Damage Repair","","","TNKS","TNKS - mRNA","False"
"TRIM21 - mRNA","NM_003141.3:1190","NS_IO_360_V1.0","TRIM21","mRNA",0,"","","Interferon Signaling;Antigen Presentation","hsa05322","","TRIM21","TRIM21 - mRNA","False"
"THBD - mRNA","NM_000361.2:1674","NS_IO_360_V1.0","THBD","mRNA",0,"","","Antigen Presentation","hsa04610;hsa04933","","THBD","THBD - mRNA","False"
"RIPK1 - mRNA","NM_003804.3:1304","NS_IO_360_V1.0","RIPK1","mRNA",0,"","","Apoptosis","hsa04064;hsa04210;hsa04620;hsa04622;hsa04623;hsa04668;hsa05160;hsa05169","","RIPK1","RIPK1 - mRNA","False"
"ZEB1 - mRNA","NM_001128128.2:2292","NS_IO_360_V1.0","ZEB1","mRNA",0,"","","","hsa05202;hsa05206","","ZEB1","ZEB1 - mRNA","False"
"CHUK - mRNA","NM_001278.4:3263","NS_IO_360_V1.0","CHUK","mRNA",0,"","","PI3K-Akt;NF-kappaB Signaling;MAPK;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04010;hsa04014;hsa04062;hsa04064;hsa04068;hsa04151;hsa04210;hsa04380;hsa04620;hsa04621;hsa04622;hsa04623;hsa04660;hsa04662;hsa04668;hsa04920;hsa05120;hsa05131;hsa05142;hsa05145;hsa05160;hsa05161;hsa05162;hsa05166;hsa05168;hsa05169;hsa05200;hsa05212;hsa05215;hsa05220;hsa05221;hsa05222","","CHUK","CHUK - mRNA","False"
"TCF3 - mRNA","NM_003200.3:276","NS_IO_360_V1.0","TCF3","mRNA",0,"","","","hsa04550;hsa05166;hsa05202","","TCF3","TCF3 - mRNA","False"
"RICTOR - mRNA","NM_001285439.1:117","NS_IO_360_V1.0","RICTOR","mRNA",0,"","","Metabolic Stress;Costimulatory Signaling","hsa04150","","RICTOR","RICTOR - mRNA","False"
"F2RL1 - mRNA","NM_005242.4:1388","NS_IO_360_V1.0","F2RL1","mRNA",0,"","","Lymphoid Compartment","hsa04080;hsa04750;hsa05143","","F2RL1","F2RL1 - mRNA","False"
