"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Related.Probes","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"EGFR - mRNA","NM_005228.3:2760","NS_IO_360_V1.0","EGFR","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK;Hypoxia","hsa04010;hsa04012;hsa04014;hsa04015;hsa04020;hsa04060;hsa04066;hsa04068;hsa04072;hsa04144;hsa04151;hsa04510;hsa04520;hsa04540;hsa04810;hsa04912;hsa04915;hsa04921;hsa05120;hsa05160;hsa05200;hsa05205;hsa05206;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05219;hsa05223;hsa05230;hsa05231","","EGFR","EGFR - mRNA","False"
"NECTIN2 - mRNA","NM_001042724.1:1120","NS_IO_360_V1.0","NECTIN2","mRNA",0,"","","Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514;hsa04520;hsa05168","","NECTIN2","NECTIN2 - mRNA","False"
"ID4 - mRNA","NM_001546.3:2048","NS_IO_360_V1.0","ID4","mRNA",0,"","","TGF-beta Signaling","hsa04350;hsa04550","","ID4","ID4 - mRNA","False"
"JAG1 - mRNA","NM_000214.2:3509","NS_IO_360_V1.0","JAG1","mRNA",0,"","","Notch Signaling;Angiogenesis","hsa04330;hsa04668","","JAG1","JAG1 - mRNA","False"
"IL18 - mRNA","NM_001243211.1:392","NS_IO_360_V1.0","IL18","mRNA",0,"","","Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04060;hsa04621;hsa04623;hsa05132;hsa05134;hsa05143;hsa05144;hsa05152;hsa05164;hsa05321;hsa05323","","IL18","IL18 - mRNA","False"
"AREG - mRNA","NM_001657.3:717","NS_IO_360_V1.0","AREG","mRNA",0,"","","Myeloid Compartment","hsa04012;hsa04390","","AREG","AREG - mRNA","False"
"CD74 - mRNA","NM_001025159.2:1161","NS_IO_360_V1.0","CD74","mRNA",0,"","","Antigen Presentation","hsa04612;hsa05152;hsa05168","","CD74","CD74 - mRNA","False"
"DUSP1 - mRNA","NM_004417.3:1428","NS_IO_360_V1.0","DUSP1","mRNA",0,"","","MAPK","hsa04010;hsa04726","","DUSP1","DUSP1 - mRNA","False"
"CTSS - mRNA","NM_004079.3:685","NS_IO_360_V1.0","CTSS","mRNA",0,"","","Matrix Remodeling and Metastasis;Antigen Presentation","hsa04142;hsa04145;hsa04612;hsa05152","","CTSS","CTSS - mRNA","False"
"HLA-E - mRNA","NM_005516.5:1287","NS_IO_360_V1.0","HLA-E","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Antigen Presentation","hsa04144;hsa04145;hsa04514;hsa04612;hsa04650;hsa04940;hsa05166;hsa05168;hsa05169;hsa05203;hsa05320;hsa05330;hsa05332;hsa05416","","HLA-E","HLA-E - mRNA","False"
